cw	pmi_4	raw_4	freq
:lol/NN	2.6625786	1	390
:o/NE	0.36378446	1	2424
:o/VVF	4.5467696	1	33
:pfannkuc/NE	6.3912797	1	9
:red/NE	4.431185	1	70
:trotz/VVF	7.372109	1	3
:winke/VVF	2.562638	2	892
:yoda/NE	6.469241	1	15
:zu/ADV	7.682264	1	2
;-)./ADJ	4.4453692	1	37
;-/TRU	0.6559465	14	24382
;-/VVI	2.9826102	1	158
;-/VVP	2.3919327	2	599
;/$.	-0.08144285	200	1434734
;angenehme/ADJ	8.000717	1	1
;o/NE	0.5905972	1	1881
</$(	-1.9333327	4	98743
=/$(	-0.6318604	20	122986
=^^=/ADJ	8.134249	1	1
=geringe/ADJ	6.6144233	1	4
>/$(	-0.670211	67	434859
?/$.	0.0050298474	314	2091348
?Ihr/NN	6.7479544	1	5
?Oder/ADJ	6.9891167	1	3
?/VVF	3.272224	1	120
@/XY	-1.9655571	1	26704
@Adam/NN	7.13572	1	4
@card@/CAR	-1.4155488	588	8972708
@ord@/ADJ	-1.7435076	5	101114
A-Capella-Gesang/NN	5.921276	1	9
A./NE	-1.5568938	1	17120
A/FM	-0.7676429	2	14410
A/NN	-2.0326629	3	84097
A1/ADJ	2.4429245	1	320
ABC/NE	0.21302426	1	2792
ABS-Socken/NN	6.6144233	1	4
AG/NN	-2.4857535	2	79450
AI-Hotel/NN	4.8983755	1	28
AP/NE	-1.3971186	1	14372
AQ-Wasser/NN	3.8496776	1	71
AQ/NN	0.71230215	1	1643
ASGAROTH/NE	6.7843223	1	5
AURORAs-/NN	8.000717	1	1
AV-Receiver/NN	3.6683407	1	83
AW/NE	0.5869732	1	5806
AX-Family/FM	6.251518	1	8
Aachen/NE	-0.0976119	4	15154
Aal/NN	0.9622629	1	1314
Aar/NN	2.6411874	1	235
Abays/NN	7.3075705	1	2
Abbau/NN	-1.7442578	1	18317
Abbauprodukt/NN	1.9527544	1	467
Abbildung/NN	-0.84843785	3	27558
Abblocken/NN	4.369732	1	44
Abbrenner/NN	4.343587	1	42
Abbruch/NN	-0.7704976	1	7283
Abdecken/NN	2.5529032	1	262
Abdeckung/NN	0.98612773	2	2444
Abduschen/NN	4.766953	1	27
Abend-/TRU	2.7393234	2	410
Abend/NN	1.8187144	142	78758
Abendaktivitäten/NN	6.6144233	1	4
Abendblatt/NN	0.57565755	1	2325
Abendbrei/NN	4.4489474	1	40
Abendbrot/NN	2.846848	5	1013
Abendbuffet/NN	4.5057263	5	197
Abendbüffet/NN	4.7818418	1	29
Abenddämmerung/NN	1.927961	1	493
Abendesse/NN	3.0993617	58	9402
Abendessen/NN	3.9077628	3	197
Abendessen/auf/NN	8.000717	3	3
Abendessenâ/NN	8.000717	1	1
Abendhimmel/NN	2.9992912	2	348
Abendlicht/NN	5.143725	11	225
Abendlob/NN	3.514894	1	102
Abendluft/NN	6.109867	11	86
Abendmahl/NN	-0.26625	1	4381
Abendmahlzeit/NN	3.5536642	1	98
Abendmahlzeiten/NN	5.5915227	1	12
Abendrot/NN	2.4847717	1	294
Abendsessen/NN	6.1883388	1	8
Abendsonne/NN	4.611255	15	506
Abendspaziergang/NN	3.326721	1	128
Abendstimmung/NN	3.681564	2	188
Abendstunde/NN	1.7874435	3	1637
Abendwanderung/NN	5.2843685	1	17
Abendwind/NN	3.7830496	1	77
Abendzeitung/NN	2.0771303	1	430
Abenteuer/NN	-0.38313004	4	20088
Abenteuererlebnis/NN	6.7479544	1	4
Aber,Schmidti/NE	8.693865	1	1
Abfahrt/NN	0.7289486	4	6737
Abfall/NN	-1.5597867	1	15409
Abfertigungshalle/NN	3.8595688	1	71
Abflug-/TRU	4.185756	1	49
Abflug/NN	0.45804015	1	2129
Abführen/NN	3.7558	1	82
Abgabe/NN	-1.7749438	1	18968
Abgasbereich/NN	6.524811	1	5
Abgießen/NN	4.668513	2	95
Abgrenzung/NN	-1.4106436	1	13485
Abhilfe/NN	-0.45550418	1	6207
Abhyanga/NE	6.3189588	1	8
Abhyanga/NN	5.5915227	1	12
Abhängigkeit/NN	-1.2229772	2	22009
Abhärten/NN	5.8316636	1	13
Abhärtung/NN	3.3087964	2	254
Abiturient/NN	0.21245407	1	2650
Abkochung/NN	4.4706874	1	41
Abkühlen/NN	3.0761847	4	784
Abkühlraum/NN	8.000717	1	1
Abkühlung/NN	2.9090142	9	1685
Abkürzung/NN	-0.6067277	1	6441
Ablage/NN	0.9595245	1	1289
Ablassen/NN	3.0060422	1	163
Ableger/NN	0.67236215	1	1634
Ablenkungsmanöver/NN	1.4174812	1	827
Abluft/NN	4.8472695	15	389
Abluftventil/NN	7.372109	1	2
Abriß/NN	0.20414542	2	5388
Absaugen/NN	3.40056	2	229
Abschied/NN	-0.044389952	4	14519
Abschirmung/NN	1.5324366	1	723
Abschlussessenâ/NN	8.000717	1	1
Abschluß/NN	-1.9389654	3	69926
Abschlußfeier/NN	2.0592313	1	426
Abschmecken/NN	3.5654464	1	155
Abschmelzen/NN	2.31459	1	319
Abschnitt/NN	-1.5331457	3	48772
Abschwächung/NN	1.0821459	1	1096
Abseihen/NN	5.5003066	2	45
Abspülen/NN	3.5036895	1	108
Abstammung/NN	0.37530532	2	4482
Abstand/NN	-0.21163622	9	35824
Abstecher/NN	0.30382323	1	2398
Abstellfläche/NN	3.293442	1	123
Abstellraum/NN	1.9009591	1	503
